クラスタ番号,タグ
0,"['#ねこ', '#うつ', '#買ってよかったもの', '#ポジティブ', '#ママ', '#赤ちゃん', '#失恋', '#おはよう', '#占い師', '#シュール', '#やる気', '#オタク', '#ネガティブ', '#愚痴', '#モテ', '#田舎', '#うさぎ', '#おしゃれ', '#親', '#コンプレックス', '#片思い', '#コスプレ', '#辛い', '#しあわせ', '#エロ', '#本音', '#お母さん', '#ハゲ', '#おじさん', '#百合', '#イライラ', '#パパ', '#頑張る', '#イケメン', '#思い込み', '#痩せる', '#オカルト', '#おばあちゃん']"
1,"['#ビジネス', '#マーケティング', '#IT', '#ブランディング', '#M5', '#リノベーション', '#IoT']"
2,"['#東京', '#横浜', '#神戸', '#東京都', '#川崎', '#テレビ東京', '#湘南']"
3,[]
4,"['#マスク', '#インテリア', '#着物', '#メイク', '#服', '#Tシャツ', '#靴', '#ワンピース', '#アクセサリー']"
5,"['#毎日更新', '#観光', '#情報発信', '#集客', '#ブログ更新', '#広報', '#PR', '#宣伝', '#物販']"
6,[]
7,"['#イラスト', '#絵', '#広告', '#落書き', '#似顔絵', '#スケッチ', '#天然石', '#手書き', '#手描き', '#illust']"
8,"['#就職活動', '#大学受験', '#受験', '#大学生日記', '#新卒', '#転職活動', '#面接', '#ナンパ', '#希望', '#アロマ', '#中学受験', '#東大', '#大学生活', '#資格試験', '#受験生', '#求人', '#学習塾', '#理系']"
9,"['#学校', '#大学']"
10,"['#フィクション', '#実話']"
11,"['#生活', '#暮らし', '#日々']"
12,"['#創作', '#執筆']"
13,"['#夏', '#秋', '#春', '#クリスマス', '#夏休み', '#朝', '#月', '#休日', '#冬', '#スキ', '#穴馬', '#ハロウィン', '#台風', '#大井', '#バレンタイン', '#楽天', '#休校', '#七夕']"
14,"['#オンライン', '#無料', '#クラウドファンディング', '#アプリ', '#iphone', '#netflix', '#kindle', '#コンテンツ', '#インターネット', '#apple', '#podcast', '#パソコン', '#eSports', '#Web']"
15,"['#演劇', '#芸術', '#美術', '#絵画', '#文化', '#ドローイング', '#水彩', '#水彩画', '#洋画', '#デッサン']"
16,"['#音楽', '#メンタル', '#バンド', '#music', '#あなたに出会えてよかった', '#ジャズ', '#english', '#flower', '#jazz']"
17,"['#宇宙', '#地球', '#星']"
